Run ID,Name,Source Type,Source Name,User,Status,model_name,n_bits,n_fs,test_acc_after_hashing,test_acc_before_hashing,train_acc_after_hashing,train_acc_before_hashing
8fe2f9f29f1b439aba944dd0756143ee,"TrainConfig(n_functions=64, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,64,0.8886,0.9139,0.96832,0.9889
80423539406d425fa7e172db918231a6,"TrainConfig(n_functions=64, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,64,0.8646,0.9139,0.93864,0.98876
0cd014ea056f421f9f081153731dd37a,"TrainConfig(n_functions=64, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,64,0.8287,0.9139,0.89468,0.98876
cf27fdb2322a4bfd8fbfc516e9b80fec,"TrainConfig(n_functions=64, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,64,0.7824,0.9139,0.83658,0.98852
5f9e04d3979e4edc938f839c0d2d5186,"TrainConfig(n_functions=64, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,64,0.6791,0.9139,0.71212,0.98878
9e56dc46d06b4d1c8ab2680c1bb271d5,"TrainConfig(n_functions=64, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,64,0.3033,0.9139,0.3149,0.98876
6482c4fbe72245faabc36955330b6d54,"TrainConfig(n_functions=32, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,32,0.8874,0.9139,0.96766,0.9888
1627cc2b42e44764a507cd1b718e73e7,"TrainConfig(n_functions=32, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,32,0.8638,0.9139,0.93788,0.98878
954facb3c124410fa72eb3b4631da827,"TrainConfig(n_functions=32, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,32,0.8293,0.9139,0.89542,0.98866
eb3be13dba78424693ab45d1945b7af9,"TrainConfig(n_functions=32, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,32,0.7853,0.9139,0.83546,0.98866
b046a44332cc4a028983a2061c01797b,"TrainConfig(n_functions=32, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,32,0.6791,0.9139,0.71214,0.98878
263c839b6360404eb2cbe8103d8fb79c,"TrainConfig(n_functions=32, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,32,0.3033,0.9139,0.3142,0.9888
25642483d2cb42c091d95dc51b4f1502,"TrainConfig(n_functions=16, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,16,0.8883,0.9139,0.96736,0.98868
6773bb806d8f47e7943c23934ba7f4f4,"TrainConfig(n_functions=16, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,16,0.863,0.9139,0.9369,0.9889
28e3bc91104c4f68ace02d70e8864bf2,"TrainConfig(n_functions=16, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,16,0.8287,0.9139,0.89492,0.9888
9960b31946be4eb3b0cdb52e9ac477c2,"TrainConfig(n_functions=16, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,16,0.7791,0.9139,0.82974,0.98854
ee99b317f3cb4d4587ba26037b0de783,"TrainConfig(n_functions=16, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,16,0.6729,0.9139,0.71002,0.98882
a12e4914b4454f8da0a04dccbaefc600,"TrainConfig(n_functions=16, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,16,0.3033,0.9139,0.315,0.98872
f7574cd3ce834bdcbb3d1c39e5d6fe52,"TrainConfig(n_functions=8, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,8,0.8849,0.9139,0.96532,0.9887
50af26bd84e442a0887cd61eb968fce8,"TrainConfig(n_functions=8, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,8,0.8568,0.9139,0.92806,0.9887
f35cea67d58046f7817ca1ce944218dc,"TrainConfig(n_functions=8, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,8,0.8168,0.9139,0.88148,0.9887
976db90f4c8b49f59131168a1fd88b8e,"TrainConfig(n_functions=8, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,8,0.7602,0.9139,0.80854,0.98886
39ddd6a92e894fbfa4b27a9b710fe549,"TrainConfig(n_functions=8, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,8,0.6476,0.9139,0.6782,0.98894
596466ab6d8b4ebfa0041f66c092f61c,"TrainConfig(n_functions=8, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,8,0.3036,0.9139,0.31484,0.98864
2efb4cb7ecaf46d3bb83f5d7deb184db,"TrainConfig(n_functions=4, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,4,0.8828,0.9139,0.96286,0.98872
97ee003570fd427b931e4dfd0153ec13,"TrainConfig(n_functions=4, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,4,0.8563,0.9139,0.9261,0.98868
c63614cc96404f52bd6d92c82ae4f5a9,"TrainConfig(n_functions=4, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,4,0.8128,0.9139,0.87816,0.98868
74a8e270b8dc47ab9b48679950b87991,"TrainConfig(n_functions=4, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,4,0.7542,0.9139,0.80216,0.98882
92be97c29a714e509b7b245fbe4bf5ab,"TrainConfig(n_functions=4, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,4,0.6527,0.9139,0.68196,0.98872
545aa63d762f4d6385d237560a872f95,"TrainConfig(n_functions=4, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,4,0.3037,0.9139,0.3146,0.98866
c6ef965f6152416fbd1bafe08a8eceb8,"TrainConfig(n_functions=2, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,2,0.882,0.9139,0.96182,0.98882
363b44b3d8df4b7cb3ad0c84ddd1b0c2,"TrainConfig(n_functions=2, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,2,0.8548,0.9139,0.92472,0.9886
e9ce2733edf34a0ea7ad0569de1cad84,"TrainConfig(n_functions=2, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,2,0.8108,0.9139,0.86984,0.9888
97677ad4b485476b90e975de9418595d,"TrainConfig(n_functions=2, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,2,0.7494,0.9139,0.80076,0.98866
f1fee82bf99d47318519801c60dce72e,"TrainConfig(n_functions=2, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,2,0.6382,0.9139,0.668,0.98882
14e035f149b742adaa6139684e3731f2,"TrainConfig(n_functions=2, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,2,0.303,0.9139,0.31456,0.98866
7455c6137f124157ae8fcaee6d2e08c7,"TrainConfig(n_functions=1, n_bits=6, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,6,1,0.8817,0.9139,0.96092,0.98878
a268c622ba9040cf84173e25872ed4d9,"TrainConfig(n_functions=1, n_bits=5, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,5,1,0.8557,0.9139,0.92342,0.98872
e38c82ff21d54d7ebff8e0022989792e,"TrainConfig(n_functions=1, n_bits=4, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,4,1,0.8112,0.9139,0.86898,0.98878
3340a6d40dab4e75895c8e08d9c16cae,"TrainConfig(n_functions=1, n_bits=3, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,3,1,0.7519,0.9139,0.80322,0.98904
d14d251f26b0428890016f5d85056179,"TrainConfig(n_functions=1, n_bits=2, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,2,1,0.6258,0.9139,0.65426,0.9888
32bd39a5df6b4940b38de0f599bc6be0,"TrainConfig(n_functions=1, n_bits=1, n_iter=15, model_name='resnet44')",LOCAL,run_all.py,aghinsa,FINISHED,resnet44,1,1,0.3036,0.9139,0.31484,0.98876
a6bde7b494eb43c1b0d87df931c28920,"TrainConfig(n_functions=64, n_bits=6, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,6,64,0.8752,0.9054,0.94898,0.98038
f908b863347e43d9b63097f8189e30d3,"TrainConfig(n_functions=64, n_bits=5, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,5,64,0.8439,0.9054,0.91328,0.98006
464a368debac49cf9351a2f4aeed1ae2,"TrainConfig(n_functions=64, n_bits=4, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,4,64,0.8125,0.9054,0.87482,0.98014
24ba3b6f97be4b38b0c181b8b3e001e6,"TrainConfig(n_functions=64, n_bits=3, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,3,64,0.7135,0.9054,0.76486,0.98034
5ec5734345ad437ca6608ba0ea622654,"TrainConfig(n_functions=64, n_bits=2, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,2,64,0.6212,0.9054,0.65354,0.98032
91be9a2fc64942dca298b650eb6e698f,"TrainConfig(n_functions=64, n_bits=1, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,1,64,0.3091,0.9054,0.31338,0.97998
80be5d382dbb42509f5b4c9e4c734c06,"TrainConfig(n_functions=32, n_bits=6, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,6,32,0.8749,0.9054,0.9476,0.98022
45fa9674f5c046c7940f8d192104767f,"TrainConfig(n_functions=32, n_bits=5, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,5,32,0.8431,0.9054,0.91316,0.98028
cb5d45241db74d55a1965c67f49a3972,"TrainConfig(n_functions=32, n_bits=4, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,4,32,0.8117,0.9054,0.87526,0.9803
e2aa72213b454e628a0e8abbda861575,"TrainConfig(n_functions=32, n_bits=3, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,3,32,0.7128,0.9054,0.76438,0.98022
5066bb30175b41d085ebd68a579ac491,"TrainConfig(n_functions=32, n_bits=2, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,2,32,0.6235,0.9054,0.65488,0.98006
d5c60a1aa141438e9842fc086373c266,"TrainConfig(n_functions=32, n_bits=1, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,1,32,0.3091,0.9054,0.3139,0.98038
26dba55d9bcd478d9f73e696118a4d74,"TrainConfig(n_functions=16, n_bits=6, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,6,16,0.8741,0.9054,0.94648,0.98028
d548e81a4fae40e0a33f70ebd522a5ae,"TrainConfig(n_functions=16, n_bits=5, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,5,16,0.8417,0.9054,0.91076,0.97992
79d1e21a557b4077ac91d54d775928c5,"TrainConfig(n_functions=16, n_bits=4, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,4,16,0.8091,0.9054,0.87246,0.98028
de22d28a12a34555ab08cc798a7de8c5,"TrainConfig(n_functions=16, n_bits=3, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,3,16,0.7108,0.9054,0.76198,0.97998
aeee3f016a9d48cf8e03fc4d2e55cc48,"TrainConfig(n_functions=16, n_bits=2, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,2,16,0.6137,0.9054,0.64398,0.98032
653de8263cfe4ee1b9bb00436dd87eb1,"TrainConfig(n_functions=16, n_bits=1, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,1,16,0.3092,0.9054,0.31346,0.98034
a3a6dca29acf45e3b5ddbaace0d8ebcb,"TrainConfig(n_functions=8, n_bits=6, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,6,8,0.8677,0.9054,0.93882,0.98016
c3070945562647c8b05c71f43086f636,"TrainConfig(n_functions=8, n_bits=5, n_iter=15, model_name='resnet32')",LOCAL,run_all.py,aghinsa,FINISHED,resnet32,5,8,0.8385,0.9054,0.90232,0.98032
